id,Time(millis),Temp1,Temp2,HIndex
954,6721.0,22.73,24.0,23.55
955,6721.0,22.73,24.0,23.55
956,6747.0,22.73,24.0,23.55
957,6747.0,22.73,24.0,23.55
958,6747.0,22.73,24.0,23.55
959,6747.0,22.73,24.0,23.55
960,6771.0,22.73,24.0,23.55
961,6771.0,22.73,24.0,23.55
962,6771.0,22.73,24.0,23.55
963,6771.0,22.73,24.0,23.55
964,6796.0,22.73,24.0,23.55
965,6796.0,22.73,24.0,23.55
966,6796.0,22.73,24.0,23.55
967,6796.0,22.73,24.0,23.55
968,6821.0,22.73,24.0,23.55
969,6821.0,22.73,24.0,23.55
970,6821.0,22.73,24.0,23.55
971,6821.0,22.73,24.0,23.55
972,6846.0,22.73,24.0,23.55
973,6846.0,22.73,24.0,23.55
974,6846.0,22.73,24.0,23.55
975,6846.0,22.73,24.0,23.55
976,6871.0,22.73,24.0,23.55
977,6871.0,22.73,24.0,23.55
978,6871.0,22.73,24.0,23.55
979,6871.0,22.73,24.0,23.55
980,6896.0,22.73,24.0,23.55
981,6896.0,22.73,24.0,23.55
982,6896.0,22.73,24.0,23.55
983,6896.0,22.73,24.0,23.55
984,6921.0,22.73,24.0,23.55
985,6921.0,22.73,24.0,23.55
986,6921.0,22.73,24.0,23.55
987,6921.0,22.73,24.0,23.55
988,6946.0,22.73,24.0,23.55
989,6946.0,22.73,24.0,23.55
990,6946.0,22.73,24.0,23.55
991,6946.0,22.73,24.0,23.55
992,6971.0,22.73,24.0,23.55
993,6971.0,22.73,24.0,23.55
994,6971.0,22.73,24.0,23.55
995,6971.0,22.73,24.0,23.55
996,6995.0,22.73,24.0,23.55
997,6995.0,22.73,24.0,23.55
998,6995.0,22.73,24.0,23.55
999,6995.0,22.73,24.0,23.55
1000,7021.0,22.73,24.0,23.55
1001,7021.0,22.73,24.0,23.55
1002,7021.0,22.73,24.0,23.55
1003,7021.0,22.73,24.0,23.55
1004,7046.0,22.73,24.0,23.55
1005,7046.0,22.73,24.0,23.55
1006,7046.0,22.73,24.0,23.55
1007,7046.0,22.73,24.0,23.55
1008,7070.0,22.73,24.0,23.55
1009,7070.0,22.73,24.0,23.55
1010,7070.0,22.73,24.0,23.55
1011,7070.0,22.73,24.0,23.55
1012,7096.0,22.83,24.0,23.55
1013,7096.0,22.83,24.0,23.55
1014,7096.0,22.83,24.0,23.55
1015,7096.0,22.83,24.0,23.55
1016,7120.0,22.73,24.0,23.55
1017,7120.0,22.73,24.0,23.55
1018,7120.0,22.73,24.0,23.55
1019,7120.0,22.73,24.0,23.55
1020,7146.0,22.73,24.0,23.55
1021,7146.0,22.73,24.0,23.55
1022,7146.0,22.73,24.0,23.55
1023,7146.0,22.73,24.0,23.55
1024,7171.0,22.73,24.0,23.55
1025,7171.0,22.73,24.0,23.55
1026,7171.0,22.73,24.0,23.55
1027,7171.0,22.73,24.0,23.55
1028,7195.0,22.73,24.0,23.55
1029,7195.0,22.73,24.0,23.55
1030,7195.0,22.73,24.0,23.55
1031,7195.0,22.73,24.0,23.55
1032,7221.0,22.83,24.0,23.55
1033,7221.0,22.83,24.0,23.55
1034,7221.0,22.83,24.0,23.55
1035,7221.0,22.83,24.0,23.55
1036,7245.0,22.83,24.0,23.55
1037,7245.0,22.83,24.0,23.55
1038,7245.0,22.83,24.0,23.55
1039,7245.0,22.83,24.0,23.55
1040,7270.0,22.73,24.0,23.55
1041,7270.0,22.73,24.0,23.55
1042,7270.0,22.73,24.0,23.55
1043,7270.0,22.73,24.0,23.55
1044,7296.0,22.73,24.0,23.55
1045,7296.0,22.73,24.0,23.55
1046,7296.0,22.73,24.0,23.55
1047,7296.0,22.73,24.0,23.55
1048,7320.0,22.73,24.0,23.55
1049,7320.0,22.73,24.0,23.55
1050,7320.0,22.73,24.0,23.55
1051,7320.0,22.73,24.0,23.55
1052,7346.0,22.73,24.0,23.55
1053,7346.0,22.73,24.0,23.55
1054,7346.0,22.73,24.0,23.55
1055,7346.0,22.73,24.0,23.55
1056,7370.0,22.73,24.0,23.55
1057,7370.0,22.73,24.0,23.55
1058,7370.0,22.73,24.0,23.55
1059,7370.0,22.73,24.0,23.55
1060,7395.0,22.73,24.0,23.55
1061,7395.0,22.73,24.0,23.55
1062,7395.0,22.73,24.0,23.55
1063,7395.0,22.73,24.0,23.55
1064,7420.0,22.83,24.0,23.55
1065,7420.0,22.83,24.0,23.55
1066,7420.0,22.83,24.0,23.55
1067,7420.0,22.83,24.0,23.55
1068,7445.0,22.83,24.0,23.55
1069,7445.0,22.83,24.0,23.55
1070,7445.0,22.83,24.0,23.55
1071,7445.0,22.83,24.0,23.55
1072,7470.0,22.83,24.0,23.55
1073,7470.0,22.83,24.0,23.55
1074,7470.0,22.83,24.0,23.55
1075,7470.0,22.83,24.0,23.55
1076,7495.0,22.83,24.0,23.55
1077,7495.0,22.83,24.0,23.55
1078,7495.0,22.83,24.0,23.55
1079,7495.0,22.83,24.0,23.55
1080,7520.0,22.83,24.0,23.55
1081,7520.0,22.83,24.0,23.55
1082,7520.0,22.83,24.0,23.55
1083,7520.0,22.83,24.0,23.55
1084,7545.0,22.73,24.0,23.55
1085,7545.0,22.73,24.0,23.55
1086,7545.0,22.73,24.0,23.55
1087,7545.0,22.73,24.0,23.55
1088,7570.0,22.83,24.0,23.55
1089,7570.0,22.83,24.0,23.55
1090,7570.0,22.83,24.0,23.55
1091,7570.0,22.83,24.0,23.55
1092,7595.0,22.83,24.0,23.55
1093,7595.0,22.83,24.0,23.55
1094,7595.0,22.83,24.0,23.55
1095,7595.0,22.83,24.0,23.55
1096,7620.0,22.83,24.0,23.55
1097,7620.0,22.83,24.0,23.55
